end,val,accn,fy,fp,form,filed,frame,unit,item,fact,cik,start
2016-08-31,4800000.0,0001104659-16-146237,2017,Q1,10-Q,2016-09-23,CY2016Q3I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2016-11-30,5000000.0,0001104659-16-163391,2017,Q2,10-Q,2016-12-22,CY2016Q4I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2017-02-28,5300000.0,0001104659-17-018555,2017,Q3,10-Q,2017-03-22,CY2017Q1I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2017-05-31,5800000.0,0001104659-17-058003,2018,Q1,10-Q,2017-09-20,,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2017-05-31,5800000.0,0001104659-17-074650,2018,Q2,10-Q,2017-12-22,,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2017-05-31,4900000.0,0001104659-18-019104,2018,Q3,10-Q,2018-03-21,CY2017Q2I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2017-08-31,6100000.0,0001104659-17-058003,2018,Q1,10-Q,2017-09-20,CY2017Q3I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2017-11-30,8500000.0,0001104659-17-074650,2018,Q2,10-Q,2017-12-22,CY2017Q4I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2018-02-28,7400000.0,0001104659-18-019104,2018,Q3,10-Q,2018-03-21,CY2018Q1I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2018-05-31,7500000.0,0001104659-18-058911,2019,Q1,10-Q,2018-09-27,,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2018-05-31,7500000.0,0001104659-18-073842,2019,Q2,10-Q,2018-12-19,,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2018-05-31,7500000.0,0001104659-19-016320,2019,Q3,10-Q,2019-03-20,CY2018Q2I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2018-08-31,8500000.0,0001104659-18-058911,2019,Q1,10-Q,2018-09-27,CY2018Q3I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2018-11-30,14500000.0,0001104659-18-073842,2019,Q2,10-Q,2018-12-19,CY2018Q4I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2019-02-28,15000000.0,0001104659-19-016320,2019,Q3,10-Q,2019-03-20,CY2019Q1I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2019-05-31,16000000.0,0001410578-19-001436,2020,Q1,10-Q,2019-09-26,,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2019-05-31,16000000.0,0001104659-19-074491,2020,Q2,10-Q,2019-12-20,,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2019-05-31,16000000.0,0001104659-20-037857,2020,Q3,10-Q,2020-03-25,CY2019Q2I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2019-08-31,17700000.0,0001410578-19-001436,2020,Q1,10-Q,2019-09-26,CY2019Q3I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2019-11-30,17500000.0,0001104659-19-074491,2020,Q2,10-Q,2019-12-20,CY2019Q4I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2020-02-29,20200000.0,0001104659-20-037857,2020,Q3,10-Q,2020-03-25,CY2020Q1I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2020-05-31,22100000.0,0001104659-20-108360,2021,Q1,10-Q,2020-09-24,,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2020-05-31,22100000.0,0001104659-20-137498,2021,Q2,10-Q,2020-12-18,,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2020-05-31,22100000.0,0001104659-21-040394,2021,Q3,10-Q,2021-03-23,CY2020Q2I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2020-08-31,20900000.0,0001104659-20-108360,2021,Q1,10-Q,2020-09-24,CY2020Q3I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2020-11-30,19400000.0,0001104659-20-137498,2021,Q2,10-Q,2020-12-18,CY2020Q4I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2021-02-28,16900000.0,0001104659-21-040394,2021,Q3,10-Q,2021-03-23,CY2021Q1I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2021-05-31,16400000.0,0001104659-21-118843,2022,Q1,10-Q,2021-09-23,,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2021-05-31,16400000.0,0001104659-21-152249,2022,Q2,10-Q,2021-12-21,,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2021-05-31,16400000.0,0001104659-22-036639,2022,Q3,10-Q,2022-03-22,CY2021Q2I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2021-08-31,16900000.0,0001104659-21-118843,2022,Q1,10-Q,2021-09-23,CY2021Q3I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2021-11-30,17800000.0,0001104659-21-152249,2022,Q2,10-Q,2021-12-21,CY2021Q4I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2022-02-28,17500000.0,0001104659-22-036639,2022,Q3,10-Q,2022-03-22,CY2022Q1I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2022-05-31,17900000.0,0001104659-22-102374,2023,Q1,10-Q,2022-09-22,,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2022-05-31,17900000.0,0001104659-22-128706,2023,Q2,10-Q,2022-12-20,,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2022-05-31,17900000.0,0001104659-23-035153,2023,Q3,10-Q,2023-03-21,CY2022Q2I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2022-08-31,17500000.0,0001104659-22-102374,2023,Q1,10-Q,2022-09-22,CY2022Q3I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2022-11-30,11200000.0,0001104659-22-128706,2023,Q2,10-Q,2022-12-20,CY2022Q4I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2023-02-28,12900000.0,0001104659-23-035153,2023,Q3,10-Q,2023-03-21,CY2023Q1I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2023-05-31,13400000.0,0001104659-23-103944,2023,Q1,10-Q,2023-09-26,,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2023-05-31,13400000.0,0001104659-23-128321,2024,Q2,10-Q,2023-12-21,,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2023-05-31,13400000.0,0001104659-24-037408,2024,Q3,10-Q,2024-03-21,CY2023Q2I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2023-08-31,14100000.0,0001104659-23-103944,2023,Q1,10-Q,2023-09-26,CY2023Q3I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2023-11-30,13900000.0,0001104659-23-128321,2024,Q2,10-Q,2023-12-21,CY2023Q4I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2024-02-29,13900000.0,0001104659-24-037408,2024,Q3,10-Q,2024-03-21,CY2024Q1I,USD,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap,1750,
2009-05-31,13502000.0,0001047469-11-006302,2011,FY,10-K,2011-07-13,CY2008,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2008-06-01
2009-08-31,2867000.0,0001104659-10-049632,2011,Q1,10-Q,2010-09-23,CY2009Q3,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2009-06-01
2009-11-30,5755000.0,0001104659-10-063683,2011,Q2,10-Q,2010-12-21,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2009-06-01
2010-02-28,8699000.0,0001104659-11-015691,2011,Q3,10-Q,2011-03-22,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2009-06-01
2010-05-31,11589000.0,0001047469-12-007300,2012,FY,10-K,2012-07-19,CY2009,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2009-06-01
2010-05-31,11589000.0,0001047469-11-006302,2011,FY,10-K,2011-07-13,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2009-06-01
2010-08-31,3011000.0,0001104659-11-053058,2012,Q1,10-Q,2011-09-23,CY2010Q3,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2010-06-01
2010-08-31,3011000.0,0001104659-10-049632,2011,Q1,10-Q,2010-09-23,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2010-06-01
2010-11-30,6051000.0,0001104659-11-070822,2012,Q2,10-Q,2011-12-22,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2010-06-01
2010-11-30,6051000.0,0001104659-10-063683,2011,Q2,10-Q,2010-12-21,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2010-06-01
2011-02-28,9150000.0,0001104659-12-020988,2012,Q3,10-Q,2012-03-26,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2010-06-01
2011-02-28,9150000.0,0001104659-11-015691,2011,Q3,10-Q,2011-03-22,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2010-06-01
2011-05-31,12300000.0,0001047469-13-007797,2013,FY,10-K,2013-07-26,CY2010,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2010-06-01
2011-05-31,12309000.0,0001047469-12-007300,2012,FY,10-K,2012-07-19,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2010-06-01
2011-05-31,12309000.0,0001047469-11-006302,2011,FY,10-K,2011-07-13,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2010-06-01
2011-08-31,3200000.0,0001104659-12-065381,2013,Q1,10-Q,2012-09-25,CY2011Q3,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2011-06-01
2011-08-31,3220000.0,0001104659-11-053058,2012,Q1,10-Q,2011-09-23,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2011-06-01
2011-11-30,6500000.0,0001104659-12-085900,2013,Q2,10-Q,2012-12-21,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2011-06-01
2011-11-30,6502000.0,0001104659-11-070822,2012,Q2,10-Q,2011-12-22,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2011-06-01
2012-02-29,9900000.0,0001104659-13-023743,2013,Q3,10-Q,2013-03-22,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2011-06-01
2012-02-29,9865000.0,0001104659-12-020988,2012,Q3,10-Q,2012-03-26,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2011-06-01
2012-05-31,13200000.0,0001047469-14-006243,2014,FY,10-K,2014-07-17,CY2011,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2011-06-01
2012-05-31,13200000.0,0001047469-13-007797,2013,FY,10-K,2013-07-26,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2011-06-01
2012-05-31,13171000.0,0001047469-12-007300,2012,FY,10-K,2012-07-19,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2011-06-01
2012-08-31,2900000.0,0001104659-13-072128,2014,Q1,10-Q,2013-09-25,CY2012Q3,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2012-06-01
2012-08-31,2900000.0,0001104659-12-065381,2013,Q1,10-Q,2012-09-25,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2012-06-01
2012-11-30,5700000.0,0001104659-13-091455,2014,Q2,10-Q,2013-12-20,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2012-06-01
2012-11-30,5700000.0,0001104659-12-085900,2013,Q2,10-Q,2012-12-21,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2012-06-01
2013-02-28,8100000.0,0001104659-14-022511,2014,Q3,10-Q,2014-03-25,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2012-06-01
2013-02-28,8100000.0,0001104659-13-023743,2013,Q3,10-Q,2013-03-22,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2012-06-01
2013-05-31,9600000.0,0001047469-15-006136,2015,FY,10-K,2015-07-15,CY2012,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2012-06-01
2013-05-31,9600000.0,0001047469-14-006243,2014,FY,10-K,2014-07-17,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2012-06-01
2013-05-31,9600000.0,0001047469-13-007797,2013,FY,10-K,2013-07-26,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2012-06-01
2013-08-31,1500000.0,0001104659-14-067921,2015,Q1,10-Q,2014-09-24,CY2013Q3,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2013-06-01
2013-08-31,1500000.0,0001104659-13-072128,2014,Q1,10-Q,2013-09-25,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2013-06-01
2013-11-30,3000000.0,0001104659-14-087894,2015,Q2,10-Q,2014-12-19,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2013-06-01
2013-11-30,3000000.0,0001104659-13-091455,2014,Q2,10-Q,2013-12-20,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2013-06-01
2014-02-28,4600000.0,0001104659-15-024608,2015,Q3,10-Q,2015-03-31,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2013-06-01
2014-02-28,4600000.0,0001104659-14-022511,2014,Q3,10-Q,2014-03-25,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2013-06-01
2014-05-31,5300000.0,0001047469-15-006136,2015,FY,10-K,2015-07-15,CY2013,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2013-06-01
2014-05-31,5300000.0,0001047469-14-006243,2014,FY,10-K,2014-07-17,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2013-06-01
2014-08-31,700000.0,0001104659-15-067241,2016,Q1,10-Q,2015-09-25,CY2014Q3,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2014-06-01
2014-08-31,700000.0,0001104659-14-067921,2015,Q1,10-Q,2014-09-24,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2014-06-01
2014-11-30,1400000.0,0001104659-15-085700,2016,Q2,10-Q,2015-12-18,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2014-06-01
2014-11-30,1400000.0,0001104659-14-087894,2015,Q2,10-Q,2014-12-19,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2014-06-01
2015-02-28,2000000.0,0001104659-16-107128,2016,Q3,10-Q,2016-03-23,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2014-06-01
2015-02-28,2000000.0,0001104659-15-024608,2015,Q3,10-Q,2015-03-31,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2014-06-01
2015-05-31,2700000.0,0001047469-15-006136,2015,FY,10-K,2015-07-15,CY2014,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2014-06-01
2015-08-31,600000.0,0001104659-15-067241,2016,Q1,10-Q,2015-09-25,CY2015Q3,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2015-06-01
2015-11-30,1000000.0,0001104659-15-085700,2016,Q2,10-Q,2015-12-18,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2015-06-01
2016-02-29,1300000.0,0001104659-16-107128,2016,Q3,10-Q,2016-03-23,,USD,AmortizationOfDebtDiscountPremium,us-gaap,1750,2015-06-01
2011-05-31,9600000.0,0001047469-13-007797,2013,FY,10-K,2013-07-26,CY2010,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2010-06-01
2012-05-31,13000000.0,0001047469-13-007797,2013,FY,10-K,2013-07-26,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2011-06-01
2012-05-31,13000000.0,0001047469-14-006243,2014,FY,10-K,2014-07-17,CY2011,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2011-06-01
2013-05-31,13700000.0,0001047469-13-007797,2013,FY,10-K,2013-07-26,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2012-06-01
2013-05-31,13700000.0,0001047469-14-006243,2014,FY,10-K,2014-07-17,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2012-06-01
2013-05-31,7700000.0,0001047469-15-006136,2015,FY,10-K,2015-07-15,CY2012,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2012-06-01
2014-05-31,10400000.0,0001047469-14-006243,2014,FY,10-K,2014-07-17,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2013-06-01
2014-05-31,4700000.0,0001047469-15-006136,2015,FY,10-K,2015-07-15,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2013-06-01
2014-05-31,4700000.0,0001047469-16-014299,2016,FY,10-K,2016-07-13,CY2013,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2013-06-01
2015-05-31,4600000.0,0001047469-15-006136,2015,FY,10-K,2015-07-15,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2014-06-01
2015-05-31,4600000.0,0001047469-16-014299,2016,FY,10-K,2016-07-13,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2014-06-01
2015-05-31,4600000.0,0001047469-17-004528,2017,FY,10-K,2017-07-12,CY2014,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2014-06-01
2016-05-31,4400000.0,0001047469-16-014299,2016,FY,10-K,2016-07-13,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2015-06-01
2016-05-31,4400000.0,0001047469-17-004528,2017,FY,10-K,2017-07-12,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2015-06-01
2016-05-31,4400000.0,0001047469-18-004978,2018,FY,10-K,2018-07-11,CY2015,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2015-06-01
2017-05-31,4300000.0,0001047469-17-004528,2017,FY,10-K,2017-07-12,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2016-06-01
2017-05-31,4200000.0,0001047469-18-004978,2018,FY,10-K,2018-07-11,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2016-06-01
2017-05-31,4200000.0,0001047469-19-004266,2019,FY,10-K,2019-07-18,CY2016,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2016-06-01
2018-05-31,4700000.0,0001047469-18-004978,2018,FY,10-K,2018-07-11,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2017-06-01
2018-05-31,4700000.0,0001047469-19-004266,2019,FY,10-K,2019-07-18,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2017-06-01
2018-05-31,4700000.0,0001104659-20-085310,2020,FY,10-K,2020-07-21,CY2017,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2017-06-01
2019-05-31,3900000.0,0001047469-19-004266,2019,FY,10-K,2019-07-18,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2018-06-01
2019-05-31,3900000.0,0001104659-20-085310,2020,FY,10-K,2020-07-21,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2018-06-01
2019-05-31,3900000.0,0001104659-21-094125,2021,FY,10-K,2021-07-21,CY2018,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2018-06-01
2020-05-31,2300000.0,0001104659-20-085310,2020,FY,10-K,2020-07-21,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2019-06-01
2020-05-31,2300000.0,0001104659-21-094125,2021,FY,10-K,2021-07-21,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2019-06-01
2020-05-31,2300000.0,0001104659-22-081498,2022,FY,10-K,2022-07-21,CY2019,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2019-06-01
2021-05-31,1800000.0,0001104659-21-094125,2021,FY,10-K,2021-07-21,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2020-06-01
2021-05-31,1800000.0,0001104659-22-081498,2022,FY,10-K,2022-07-21,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2020-06-01
2021-05-31,1800000.0,0001104659-23-082069,2023,FY,10-K,2023-07-18,CY2020,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2020-06-01
2022-05-31,1100000.0,0001104659-22-081498,2022,FY,10-K,2022-07-21,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2021-06-01
2022-05-31,1100000.0,0001104659-23-082069,2023,FY,10-K,2023-07-18,CY2021,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2021-06-01
2023-05-31,1300000.0,0001104659-23-082069,2023,FY,10-K,2023-07-18,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2022-06-01
2023-05-31,6000000.0,0001104659-23-103944,2023,Q1,10-Q,2023-09-26,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2022-06-01
2023-05-31,6000000.0,0001104659-23-128321,2024,Q2,10-Q,2023-12-21,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2022-06-01
2023-05-31,6000000.0,0001104659-24-037408,2024,Q3,10-Q,2024-03-21,CY2022,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2022-06-01
2023-08-31,7100000.0,0001104659-23-103944,2023,Q1,10-Q,2023-09-26,CY2023Q3,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2023-06-01
2023-11-30,8200000.0,0001104659-23-128321,2024,Q2,10-Q,2023-12-21,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2023-06-01
2024-02-29,9300000.0,0001104659-24-037408,2024,Q3,10-Q,2024-03-21,,USD,AmortizationOfIntangibleAssets,us-gaap,1750,2023-06-01
2010-05-31,378000.0,0001047469-12-007300,2012,FY,10-K,2012-07-19,CY2009,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2009-06-01
2010-08-31,1232000.0,0001104659-11-053058,2012,Q1,10-Q,2011-09-23,CY2010Q3,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2010-06-01
2010-11-30,449000.0,0001104659-11-070822,2012,Q2,10-Q,2011-12-22,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2010-06-01
2011-02-28,278000.0,0001104659-12-020988,2012,Q3,10-Q,2012-03-26,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2010-06-01
2011-05-31,170000.0,0001047469-12-007300,2012,FY,10-K,2012-07-19,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2010-06-01
2011-05-31,170000.0,0001047469-13-007797,2013,FY,10-K,2013-07-26,CY2010,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2010-06-01
2011-08-31,210000.0,0001104659-11-053058,2012,Q1,10-Q,2011-09-23,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2011-06-01
2011-08-31,210000.0,0001104659-12-065381,2013,Q1,10-Q,2012-09-25,CY2011Q3,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2011-06-01
2011-11-30,267000.0,0001104659-11-070822,2012,Q2,10-Q,2011-12-22,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2011-06-01
2011-11-30,267000.0,0001104659-12-085900,2013,Q2,10-Q,2012-12-21,CY2011Q4,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2011-09-01
2012-02-29,260000.0,0001104659-12-020988,2012,Q3,10-Q,2012-03-26,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2011-06-01
2012-02-29,260000.0,0001104659-13-023743,2013,Q3,10-Q,2013-03-22,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2011-06-01
2012-05-31,1627000.0,0001047469-12-007300,2012,FY,10-K,2012-07-19,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2011-06-01
2012-05-31,1627000.0,0001047469-13-007797,2013,FY,10-K,2013-07-26,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2011-06-01
2012-05-31,1627000.0,0001047469-14-006243,2014,FY,10-K,2014-07-17,CY2011,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2011-06-01
2012-08-31,1489672.0,0001104659-12-065381,2013,Q1,10-Q,2012-09-25,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2012-06-01
2012-08-31,1489672.0,0001104659-13-072128,2014,Q1,10-Q,2013-09-25,CY2012Q3,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2012-06-01
2012-11-30,1434020.0,0001104659-13-091455,2014,Q2,10-Q,2013-12-20,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2012-06-01
2012-11-30,1434020.0,0001104659-12-085900,2013,Q2,10-Q,2012-12-21,CY2012Q4,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2012-09-01
2013-02-28,888536.0,0001104659-13-023743,2013,Q3,10-Q,2013-03-22,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2012-06-01
2013-02-28,888536.0,0001104659-14-022511,2014,Q3,10-Q,2014-03-25,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2012-06-01
2013-05-31,872200.0,0001047469-13-007797,2013,FY,10-K,2013-07-26,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2012-06-01
2013-05-31,872200.0,0001047469-14-006243,2014,FY,10-K,2014-07-17,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2012-06-01
2013-05-31,872200.0,0001047469-15-006136,2015,FY,10-K,2015-07-15,CY2012,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2012-06-01
2013-08-31,1211672.0,0001104659-13-072128,2014,Q1,10-Q,2013-09-25,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2013-06-01
2013-08-31,1211672.0,0001104659-14-067921,2015,Q1,10-Q,2014-09-24,CY2013Q3,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2013-06-01
2013-11-30,48000.0,0001104659-13-091455,2014,Q2,10-Q,2013-12-20,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2013-06-01
2013-11-30,48000.0,0001104659-14-087894,2015,Q2,10-Q,2014-12-19,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2013-06-01
2014-02-28,170000.0,0001104659-14-022511,2014,Q3,10-Q,2014-03-25,,shares,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap,1750,2013-06-01
